year,month,total_loss,total_victims
2021,1,12894119.87000001,4411
2021,2,27042043.269999992,5055
2021,3,17017937.67,6111
2021,4,22120277.219999995,4711
2021,5,19401051.739999995,4348
2021,6,19796860.94999999,4633
2021,7,21723251.47000002,4525
2021,8,21036153.6,4211
2021,9,28828754.699999988,3739
2021,10,33303325.58999999,3661
2021,11,41681604.33999999,3673
2021,12,44625562.71999997,3754
2022,1,31830657.21000001,4045
2022,2,36026148.84,3300
2022,3,43628771.24000001,4432
2022,4,36479561.03999999,4578
2022,5,38666778.09999999,4548
2022,6,30129928.360000014,4158
2022,7,28081496.499999985,3854
2022,8,31819744.13,3955
2022,9,31265847.369999994,3526
2022,10,49056937.23,3363
2022,11,54742651.700000025,3851
2022,12,32626793.71000001,3941
2023,1,37131808.58999997,3523
2023,2,43427005.65,3184
2023,3,41154898.02000002,3684
2023,4,33938067.54,1847
2023,5,51638993.919999994,3138
2023,6,48023798.30999999,3281
2023,7,32056347.83000002,3192
2023,8,43304947.83000001,2910
2023,9,43260336.17000002,2904
2023,10,41244752.97999997,2846
2023,11,39030197.87000001,2530
2023,12,43028134.99999998,2707
2024,1,34450108.749999985,2657
2024,2,34808929.03000002,2481
2024,3,31588149.459999997,2246
2024,4,58621029.61,2657
2024,5,34797478.010000005,2651
2024,6,52432829.07000002,2368
2024,7,42392995.48999999,2320
2024,8,33964494.999999985,2706
2024,9,48048048.8,2568
2024,10,50384253.86999999,2572
2024,11,61326767.94999998,2511
2024,12,41473889.66000001,2516
2025,1,34128397.82,2579
2025,2,43571016.60999998,2272
2025,3,52699995.85000001,2876
2025,4,51211159.519999966,2406
2025,5,44744572.96000001,2238
2025,6,53637742.52,1922
2025,7,71739167.57000005,1952
2025,8,53701722.26999999,1687
2025,9,33614292.8,1332
